candidate_id,rank,score,reasoning
CAND_0017960,32,0.8914,"7.7 YoE Recommendation Systems Engineer with experience in qlora, peft, python, qdrant. Previously at Nykaa & Wysa. Strong engagement history with recruiters."
CAND_0027691,33,0.8911,"6.5 YoE NLP Engineer with experience in lora, weaviate, python, qlora. Previously at Haptik & Vedantu. Highly active with quick 15-day notice."
CAND_0061655,34,0.8907,"4.6 YoE Machine Learning Engineer with experience in nlp, qdrant, opensearch, pinecone. Previously at Krutrim & Google. Highly active with quick 15-day notice."
CAND_0051292,35,0.8873,"5.2 YoE Applied ML Engineer with experience in faiss, nlp, peft, elasticsearch. Previously at Freshworks & Vedantu. Highly active with quick 30-day notice."
CAND_0040117,36,0.8861,"6.5 YoE Recommendation Systems Engineer with experience in faiss, lora, embeddings, qlora. Previously at PhonePe & Salesforce. Highly active with quick 15-day notice."
CAND_0042506,37,0.8859,"4.2 YoE Search Engineer with experience in nlp, faiss, qdrant, milvus. Previously at Verloop.io & Meesho. 15-day notice period."
CAND_0041610,38,0.8854,"6.7 YoE Recommendation Systems Engineer with experience in opensearch, lora, embeddings, elasticsearch. Previously at Zoho & Observe.AI. Highly active with quick 30-day notice."
CAND_0006418,39,0.8842,"5.7 YoE Machine Learning Engineer with experience in weaviate, qdrant, opensearch, elasticsearch. Previously at Verloop.io & Flipkart. Strong engagement history with recruiters."
CAND_0005260,40,0.8841,"5.2 YoE Senior NLP Engineer with experience in nlp, lora, embeddings, python. Previously at Netflix & Yellow.ai. Strong engagement history with recruiters."
CAND_0028793,41,0.8749,"7.2 YoE Search Engineer with experience in nlp, lora, qlora, peft. Previously at Google & Amazon. 120-day notice period."
CAND_0011432,42,0.8729,"7.6 YoE Senior Data Scientist with experience in opensearch, qlora, peft, elasticsearch. Previously at Amazon & Krutrim. Strong engagement history with recruiters."
CAND_0075574,43,0.8693,"5.7 YoE Machine Learning Engineer with experience in opensearch, weaviate, qdrant, elasticsearch. Previously at Haptik & Observe.AI. 60-day notice period."
CAND_0093912,44,0.8691,"5.3 YoE Senior Data Scientist with experience in milvus, embeddings, elasticsearch. Previously at Razorpay & Flipkart. Highly active with quick 30-day notice."
CAND_0074225,45,0.8683,"4.3 YoE Machine Learning Engineer with experience in python, qdrant, milvus, elasticsearch. Previously at Unacademy & Mad Street Den. Strong engagement history with recruiters."
CAND_0052682,46,0.8682,"6.6 YoE NLP Engineer with experience in faiss, qlora, embeddings, python. Previously at Aganitha & Salesforce. Highly active with quick 30-day notice."
CAND_0022812,47,0.8669,"4.5 YoE Applied ML Engineer with experience in nlp, lora, weaviate, qdrant. Previously at Dream11 & Razorpay. Strong engagement history with recruiters."
CAND_0029367,48,0.8669,"5.7 YoE Senior Data Scientist with experience in faiss, nlp, qlora, pinecone. Previously at Rephrase.ai & CRED. Strong engagement history with recruiters."
CAND_0065195,49,0.8635,"5.1 YoE Search Engineer with experience in qlora, qdrant, elasticsearch. Previously at CRED & Google. Strong engagement history with recruiters."
CAND_0075439,50,0.8634,"4.3 YoE Machine Learning Engineer with experience in opensearch, lora, embeddings, elasticsearch. Previously at Flipkart & Genpact AI. Highly active with quick 30-day notice."
CAND_0008425,51,0.8608,"7.8 YoE Senior NLP Engineer with experience in nlp, lora, python, qdrant. Previously at Ola & Zomato. Strong engagement history with recruiters."
CAND_0041611,52,0.8603,"6.4 YoE Staff Machine Learning Engineer with experience in nlp, weaviate, qdrant, opensearch. Previously at Locobuzz & Genpact AI. 30-day notice period."
CAND_0046525,53,0.8597,"6.1 YoE Senior Machine Learning Engineer with experience in nlp, qdrant, elasticsearch. Previously at Genpact AI & LinkedIn. Strong engagement history with recruiters."
CAND_0079064,54,0.8575,"5.2 YoE Senior Data Scientist with experience in nlp, qlora, pinecone, opensearch. Previously at Niramai & Razorpay. Strong engagement history with recruiters."
CAND_0094759,55,0.8574,"8.6 YoE Lead AI Engineer with experience in nlp, faiss, weaviate, qdrant. Previously at Meta & Apple. 30-day notice period."
CAND_0057563,56,0.853,"6.8 YoE NLP Engineer with experience in opensearch, qlora, elasticsearch. Previously at Locobuzz & Yellow.ai. Strong engagement history with recruiters."
CAND_0064270,57,0.8489,"4.2 YoE Applied ML Engineer with experience in opensearch, peft, embeddings, elasticsearch. Previously at Verloop.io & Uber. Strong engagement history with recruiters."
CAND_0098846,58,0.8488,"7.6 YoE AI Engineer with experience in qlora, peft, qdrant. Previously at upGrad & Meesho. Strong engagement history with recruiters."
CAND_0061265,59,0.8455,"6.6 YoE Recommendation Systems Engineer with experience in milvus, qlora, embeddings, qdrant. Previously at Zoho & Observe.AI. Strong engagement history with recruiters."
CAND_0060054,60,0.8438,"6.4 YoE AI Engineer with experience in faiss, weaviate, elasticsearch. Previously at Mad Street Den & Zomato. Highly active with quick 15-day notice."
CAND_0051630,61,0.8431,"6.0 YoE Machine Learning Engineer with experience in nlp, lora, python, opensearch. Previously at Razorpay & InMobi. 90-day notice period."
CAND_0041568,62,0.8389,"5.2 YoE Search Engineer with experience in pinecone, weaviate, qdrant, peft. Previously at Haptik & Salesforce. 90-day notice period."
CAND_0030953,63,0.8366,"7.8 YoE Search Engineer with experience in weaviate, python, qdrant. Previously at Nykaa & Niramai. Strong engagement history with recruiters."
CAND_0000031,64,0.8363,"6.0 YoE Recommendation Systems Engineer with experience in faiss, embeddings, pinecone. Previously at Swiggy & Mad Street Den. Strong engagement history with recruiters."
CAND_0039754,65,0.8363,"16.2 YoE Senior Applied Scientist with experience in nlp, weaviate, python, qdrant. Previously at Meta & Apple. Highly active with quick 30-day notice."
CAND_0069905,66,0.8354,"6.6 YoE Applied ML Engineer with experience in lora, weaviate, python. Previously at Sarvam AI & Nykaa. Strong engagement history with recruiters."
CAND_0036437,67,0.8353,"4.8 YoE Search Engineer with experience in faiss, weaviate, opensearch, milvus. Previously at Rephrase.ai & Nykaa. Highly active with quick 30-day notice."
CAND_0095528,68,0.8343,"5.3 YoE Senior Data Scientist with experience in opensearch, python, qdrant, elasticsearch. Previously at Netflix & Adobe. 45-day notice period."
CAND_0047721,69,0.8296,"7.0 YoE Senior Data Scientist with experience in faiss, nlp, qdrant, milvus. Previously at Microsoft & Observe.AI. 90-day notice period."
CAND_0050454,70,0.8283,"6.8 YoE AI Engineer with experience in faiss, lora, nlp, qdrant. Previously at Rephrase.ai & Uber. Highly active with quick 30-day notice."
CAND_0044222,71,0.8274,"7.7 YoE AI Engineer with experience in nlp, weaviate, qdrant, opensearch. Previously at PolicyBazaar & InMobi. 60-day notice period."
CAND_0050876,72,0.8265,"6.0 YoE Applied ML Engineer with experience in faiss, python, qdrant, opensearch. Previously at Freshworks & Yellow.ai. Strong engagement history with recruiters."
CAND_0092278,73,0.8243,"6.8 YoE Senior NLP Engineer with experience in nlp, milvus, elasticsearch, qlora. Previously at Microsoft & Paytm. 90-day notice period."
CAND_0030031,74,0.8233,"5.7 YoE AI Engineer with experience in nlp, lora, python, milvus. Previously at Microsoft & Amazon. Highly active with quick 30-day notice."
CAND_0060072,75,0.8218,"5.7 YoE Staff Machine Learning Engineer with experience in milvus, pinecone, embeddings, qdrant. Previously at Amazon & Wysa. 90-day notice period."
CAND_0018722,76,0.8211,"6.6 YoE Recommendation Systems Engineer with experience in peft, weaviate, python. Previously at Saarthi.ai & Unacademy. Strong engagement history with recruiters."
CAND_0049538,77,0.8174,"5.8 YoE Applied ML Engineer with experience in opensearch, milvus, elasticsearch, qlora. Previously at Saarthi.ai & PolicyBazaar. Highly active with quick 30-day notice."
CAND_0096172,78,0.8159,"5.2 YoE NLP Engineer with experience in opensearch, python, qdrant, elasticsearch. Previously at Krutrim & Dream11. 45-day notice period."
CAND_0012957,79,0.8146,"4.9 YoE Search Engineer with experience in peft, embeddings, python, qdrant. Previously at Razorpay & Mad Street Den. Strong engagement history with recruiters."
CAND_0015578,80,0.8132,"5.4 YoE AI Engineer with experience in nlp, faiss, pinecone, qlora. Previously at Zoho & Glance. Strong engagement history with recruiters."
CAND_0099806,81,0.8122,"4.6 YoE AI Engineer with experience in faiss, lora, weaviate, qdrant. Previously at Mad Street Den & upGrad. Highly active with quick 30-day notice."
CAND_0044883,82,0.812,"6.3 YoE AI Engineer with experience in qlora, embeddings. Previously at Mad Street Den & Adobe. Strong engagement history with recruiters."
CAND_0078002,83,0.8109,"6.3 YoE Machine Learning Engineer with experience in nlp, qlora, weaviate. Previously at Meta & Genpact AI. Strong engagement history with recruiters."
CAND_0078042,84,0.8109,"4.7 YoE Applied ML Engineer with experience in nlp, qlora, pinecone, opensearch. Previously at PolicyBazaar & Ola. Highly active with quick 30-day notice."
CAND_0009024,85,0.81,"5.2 YoE Search Engineer with experience in faiss, lora, qdrant, opensearch. Previously at Google & Aganitha. 30-day notice period."
CAND_0014440,86,0.8094,"6.4 YoE Recommendation Systems Engineer with experience in faiss, elasticsearch, qdrant, milvus. Previously at CRED & Freshworks. Strong engagement history with recruiters."
CAND_0080766,87,0.8094,"8.8 YoE Staff Machine Learning Engineer with experience in lora, python, milvus, opensearch. Previously at Salesforce & Aganitha. Highly active with quick 0-day notice."
CAND_0045250,88,0.8092,"6.6 YoE Applied ML Engineer with experience in nlp, lora, qdrant, milvus. Previously at Rephrase.ai & Paytm. Highly active with quick 15-day notice."
CAND_0011162,89,0.8059,"5.8 YoE Recommendation Systems Engineer with experience in faiss, lora, weaviate, python. Previously at upGrad & Meesho. Strong engagement history with recruiters."
CAND_0066376,90,0.8048,"5.7 YoE Applied ML Engineer with experience in nlp, lora, faiss. Previously at Dream11 & Salesforce. 90-day notice period."
CAND_0054123,91,0.8039,"4.7 YoE Applied ML Engineer with experience in weaviate, python, qdrant. Previously at Meta & CRED. Strong engagement history with recruiters."
CAND_0053695,92,0.8032,"5.8 YoE Recommendation Systems Engineer with experience in embeddings, pinecone. Previously at Meesho & Genpact AI. Highly active with quick 15-day notice."
CAND_0009691,93,0.8024,"6.2 YoE Applied ML Engineer with experience in faiss, lora, qdrant, pinecone. Previously at LinkedIn & Amazon. Strong engagement history with recruiters."
CAND_0099401,94,0.8024,"7.7 YoE NLP Engineer with experience in embeddings, python, qdrant. Previously at Dream11 & Genpact AI. 90-day notice period."
CAND_0091909,95,0.8023,"6.9 YoE Machine Learning Engineer with experience in opensearch, qlora, pinecone, qdrant. Previously at Rephrase.ai & Meta. Strong engagement history with recruiters."
CAND_0036863,96,0.7991,"4.3 YoE Senior Data Scientist with experience in faiss, lora, opensearch, qdrant. Previously at upGrad & Zoho. 60-day notice period."
CAND_0039383,97,0.7967,"7.1 YoE Applied ML Engineer with experience in faiss, nlp, lora, elasticsearch. Previously at Meesho & Swiggy. Strong engagement history with recruiters."
CAND_0084819,98,0.7963,"4.5 YoE Search Engineer with experience in opensearch, lora, weaviate. Previously at Dream11 & Razorpay. Strong engagement history with recruiters."
CAND_0096142,99,0.796,"5.0 YoE Applied ML Engineer with experience in nlp, lora, weaviate, python. Previously at upGrad & BYJU'S. Strong engagement history with recruiters."
CAND_0070202,100,0.7953,"5.1 YoE Machine Learning Engineer with experience in nlp, lora, embeddings, qdrant. Previously at BYJU'S & Dream11. 90-day notice period."
